units,epoch,bottleneck,layer,precision,recall,f1,auc,mcc
processing layer 1 encoding 8,10,True,1,0.6656649692154346,0.8479591836734693,0.7457060767399035,0.8978873511848537,0.7171851859028452
processing layer 1 encoding 16,10,True,1,0.6656395398956504,0.8479591836734693,0.74565563372253,0.8978879808998448,0.7171622092977165
processing layer 1 encoding 32,10,True,1,0.6760489530086987,0.8316326530612244,0.7451060403146245,0.8914828798485805,0.7158447283183671
processing layer 2 encoding 8,10,True,2,0.6656649692154346,0.8479591836734693,0.7457060767399035,0.8978873511848537,0.7171851859028452
processing layer 2 encoding 16,10,True,2,0.6679892666716067,0.8479591836734693,0.7470901624965084,0.8981392371812518,0.718682509739359
processing layer 2 encoding 32,10,True,2,0.6746596782101436,0.8357142857142856,0.7459141211227053,0.893272439893704,0.7169994120055136
