units,epoch,bottleneck,layer,precision,recall,f1,auc,mcc
processing layer 1 encoding 8,10,True,1,0.15353739111521336,0.8149749373433585,0.25648182676171166,0.5570387659113427,0.0887812171171304
processing layer 1 encoding 16,10,True,1,0.1532108060811574,0.8328320802005011,0.256679487336123,0.5569999460355664,0.09220291749972817
processing layer 1 encoding 32,10,True,1,0.1529690914833429,0.8293233082706767,0.2561253473643286,0.5557897787651216,0.09003810312364516
processing layer 2 encoding 8,10,True,2,0.15302876034216548,0.8328320802005011,0.2564636066102241,0.5567282069051316,0.09182120537387618
processing layer 2 encoding 16,10,True,2,0.1532108060811574,0.8328320802005011,0.256679487336123,0.5569999460355664,0.09220291749972817
processing layer 2 encoding 32,10,True,2,0.1529690914833429,0.8293233082706767,0.2561253473643286,0.5557897787651216,0.09003810312364516
