units,epoch,bottleneck,layer,precision,recall,f1,auc,mcc
processing layer 1 encoding 8,10,True,1,0.5227117338340797,0.6489855072463768,0.5706115626873969,0.7854599158989325,0.5199544308824802
processing layer 1 encoding 16,10,True,1,0.5246725181478051,0.6446376811594202,0.5698280575327577,0.7838250864134058,0.5192043967513099
processing layer 1 encoding 32,10,True,1,0.5246725181478051,0.6446376811594202,0.5698280575327577,0.7838250864134058,0.5192043967513099
processing layer 2 encoding 8,10,True,2,0.5227117338340797,0.6489855072463768,0.5706115626873969,0.7854599158989325,0.5199544308824802
processing layer 2 encoding 16,10,True,2,0.5246725181478051,0.6446376811594202,0.5698280575327577,0.7838250864134058,0.5192043967513099
processing layer 2 encoding 32,10,True,2,0.5246725181478051,0.6446376811594202,0.5698280575327577,0.7838250864134058,0.5192043967513099
