Encoding_dim,threshold,epoch,bottleneck,layer,precision,recall,f1,auc,mcc
256,6000,20,True,1,0.15589060457171774,0.8575814536340852,0.2613195224518375,0.5647328545270296,0.10681245498335357
512,1000,20,True,1,0.15670040699607854,0.8046365914786968,0.25866391786686266,0.5592250603406989,0.09652621947085657
1024,1000,20,True,1,0.15624328988024344,0.7974937343358396,0.25828764700964724,0.5600155260945873,0.09851696423436049
256,11000,20,True,2,0.15419682500894447,0.8574561403508772,0.25876224879522786,0.5603097844273044,0.10179814296711827
512,6000,20,True,2,0.15270011546108436,0.868170426065163,0.2573595679968219,0.5575117916370121,0.09950454165219469
1024,11000,20,True,2,0.1549187994683266,0.8682330827067668,0.2603913561794954,0.5629845664688912,0.10689975726943253
