units,epoch,bottleneck,layer,precision,recall,f1,auc,mcc
processing layer 1 encoding 8,10,True,1,0.13547760472455264,0.7987179487179488,0.23152024446142092,0.8224520425721751,0.28753818236019424
processing layer 1 encoding 16,10,True,1,0.1359861406577461,0.7987179487179488,0.23227097414747772,0.8226867843562127,0.2882171160592511
processing layer 1 encoding 32,10,True,1,0.13632860641117076,0.7987179487179488,0.23276345020766928,0.8229220784738598,0.28870610995535845
processing layer 2 encoding 8,10,True,2,0.13589617397873832,0.7987179487179488,0.2321364909600204,0.8226867843562127,0.2881194741147095
processing layer 2 encoding 16,10,True,2,0.1359861406577461,0.7987179487179488,0.23227097414747772,0.8226867843562127,0.2882171160592511
processing layer 2 encoding 32,10,True,2,0.1364304205540808,0.7987179487179488,0.23291251384274636,0.8229220784738598,0.2888147814525712
