Encoding_dim,threshold,epoch,bottleneck,layer,precision,recall,f1,auc,mcc
256,396000,20,True,1,0.22996649996030802,0.614102564102564,0.32961171310629517,0.7743608650394068,0.3428250257311783
512,341000,20,True,1,0.2329929138624791,0.6294871794871795,0.331464056071651,0.7794654897712064,0.3468695811739243
1024,336000,20,True,1,0.23952252766674825,0.5987179487179487,0.33283739034579046,0.7676108384849064,0.34339948028382006
256,376000,20,True,2,0.22254825003204132,0.6141025641025641,0.3249077121587251,0.7741255709217599,0.3384143130982305
512,331000,20,True,2,0.22468597629887954,0.6294871794871795,0.32831423587073905,0.7804050092409661,0.34383990604358916
1024,311000,20,True,2,0.23249338967553806,0.6294871794871795,0.3356356707738893,0.7825248656342276,0.35090532367557337
