Encoding_dim,threshold,epoch,bottleneck,layer,precision,recall,f1,auc,mcc
256,301000,20,True,1,0.7816035291707413,0.7822278911564625,0.7759569977949393,0.8770650041291311,0.7524186459765757
512,246000,20,True,1,0.7704450391515512,0.782312925170068,0.7721665041292103,0.8763594197266318,0.7467566200339657
1024,131000,20,True,1,0.7431953701020638,0.8273809523809523,0.780439402918327,0.8956264719587914,0.7548124659133244
256,331000,20,True,2,0.7688195452346396,0.802721088435374,0.7799610868827309,0.8858097325150636,0.756037055792574
512,251000,20,True,2,0.7582206394999399,0.798639455782313,0.7759781179270557,0.883513251902189,0.7493912171200341
1024,321000,20,True,2,0.758187306501548,0.8113095238095237,0.7774772471468815,0.8891020736514653,0.753995683900602
