Encoding_dim,threshold,epoch,bottleneck,layer,precision,recall,f1,auc,mcc
256,206000,20,True,1,0.5396649436969894,0.6357487922705314,0.5732114635718641,0.7815311796033699,0.5239859244409024
512,211000,20,True,1,0.5328665276186119,0.640096618357488,0.5706875585992207,0.7823595574759935,0.5212579103112589
1024,211000,20,True,1,0.5495481890272702,0.6444444444444445,0.5751015879619998,0.7850711049280739,0.5306352690497897
256,216000,20,True,2,0.529759211944121,0.6622222222222222,0.5748522398256524,0.791003004569651,0.5282180348245616
512,196000,20,True,2,0.5339770597554283,0.6400966183574879,0.5724002603980579,0.7828971918845957,0.5227036170033423
1024,196000,20,True,2,0.5316249820086137,0.6356521739130435,0.5704561015613058,0.7809437868666744,0.5197360150738914
