conv_layers,filters,kernel,max_pooling_window,epochs,precision,recall,f1,auc,mcc
2,32,11,4,20,0.0,0.0,0.0,0.0,0.0
2,32,11,5,20,0.0,0.0,0.0,0.0,0.0
2,64,5,2,20,0.0,0.0,0.0,0.0,0.0
2,64,5,3,20,0.0,0.0,0.0,0.0,0.0
2,64,5,4,20,0.0,0.0,0.0,0.0,0.0
2,64,5,5,20,0.0,0.0,0.0,0.0,0.0
2,64,7,2,20,0.0,0.0,0.0,0.0,0.0
2,64,7,3,20,0.0,0.0,0.0,0.0,0.0
2,64,7,4,20,0.0,0.0,0.0,0.0,0.0
2,64,7,5,20,0.0,0.0,0.0,0.0,0.0
2,64,11,2,20,0.0,0.0,0.0,0.0,0.0
2,64,11,3,20,0.0,0.0,0.0,0.0,0.0
2,64,11,4,20,0.0,0.0,0.0,0.0,0.0
2,64,11,5,20,0.0,0.0,0.0,0.0,0.0
